"","Start_Date","End_Date","Company","Lecture","Lecture_Comments","Responsive","Responsive_Comments","Student_Guide","Guide_Comment","Lab_Exercises","Lab_Comments","Classroom","Classroom_Comments","Computer","Computer_Comments","Network","Network_Comments","See_Hear","See_Hear_Comments","Years_Experience","Experience_Comments","IP_or_Telephony_Background","Background_Comments","Had_Knowledge_Skills","Knowledge_Skills_Comments","Metaswitch_Experience","Metaswitch_Exp_Comments","Attended__Appropriate_Time","Appropriate_Time_Comments","Learned_What_I_Needed","Learned_Comment","Recommend_Class","Recommend_Comments","Feedback","Instructor","Location","Course","Technical_Details"
"1","","","Open-Ended Response","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comment","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Response","Comments","Open-Ended Response","Genaro Islas Jim Pellegrini Jake Livingstone Jason Anderson Dr. Michael Allen Phil Aird Sunny Carter John Newbery Laurence Carr Graham Weeks Carlos Simoni Someone Else","Response Other (please specify)","Response Other (please specify)","Strongly Agree Agree Disagree Strongly Disagree"
"2","2016-08-26 5:53:26","2016-08-26 6:04:18","FairPoint Communications","Strongly Agree","Instructor made it a point to make sure we were understanding the concepts.","Strongly Agree","","Strongly Agree","","Strongly Agree","","Agree","","Agree","","Agree","","Strongly Agree","","One to Five Years","","Telephony","","Agree","I am new to IP/routing/networking and this class was a bit over my head. However, the instructor was aware. He did a marvelous job teaching us all.","Less than 3 months","I had zero experience","No","My management probably could have put me in this training at a later time, but that is not a Meta issue!!!","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting "," Agree  "
"3","2016-08-26 5:50:48","2016-08-26 5:59:10","Fairpoint Communications","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Twenty One or More Years","","IP","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","During my MANY training courses over the years--I have to acknowledge an instructor like Dr.Mike Allen.  He is extremely energetic and compassionate about his training--these are traits that are not common among other instructors that I've had in the past with other vendors. Metaswitch should be honored to have him as an employee!!","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"4","2016-08-26 5:49:56","2016-08-26 5:55:31","Fairpoint","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Disagree","Fairpoints location has HVAC issues that they are working on","Strongly Agree","","Strongly Agree","","Strongly Agree","","Twenty One or More Years","","IP","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"5","2016-08-26 5:48:37","2016-08-26 5:55:41","Fairpoint Communications","Strongly Agree","I really appreciated the way Dr. Allen provided the training.  He explained all concepts thoroughly and answered all questions in-depth.","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Disagree","Fairpoint shortcoming, as we are still on the XP platform.","Strongly Agree","","Strongly Agree","","Six to Ten Years","","IP","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","","I am extremely pleased with the HPBX Meta training.  Dr. Allen provided a thorough, detailed explanation for all topics covered, but was always able to explain things at a level that everyone in the class could follow/understand.","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"6","2016-08-26 5:37:01","2016-08-26 5:41:17","Fairpoint","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"7","2016-08-26 5:34:46","2016-08-26 5:40:44","Fairpoint Communications(Northeast)","Strongly Agree","Good pacing made it easier to get through lecture.","Strongly Agree","","Strongly Agree","","Strongly Agree","","Agree","It was a little warm but I don't know what anyone could have done about it.","Strongly Agree","","Strongly Agree","","Strongly Agree","","One to Five Years","","IP","","Strongly Agree","","2 to 5 years","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"8","2016-08-26 5:35:24","2016-08-26 5:38:14","Fairpoint","Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Disagree","Too hot","Strongly Agree","","Strongly Agree","","Strongly Agree","","Six to Ten Years","","IP","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","no","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"9","2016-08-26 5:24:04","2016-08-26 5:30:43","Fairpoint SE","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Twenty One or More Years","","Telephony","","Agree","","2 to 5 years","","Yes","","Agree","","Yes","","","    Dr. Michael Allen       ","Other (please specify) Manchester NH","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"10","2016-08-26 5:19:34","2016-08-26 5:26:25","Fairpoint","Strongly Agree","","Strongly Agree","","Strongly Agree","","Strongly Agree","","Agree","","Agree","","Agree","","Strongly Agree","","One to Five Years","","Both IP and Telephony","","Strongly Agree","","2 to 5 years","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting "," Agree  "
