"","Start_Date","End_Date","Company","Lecture","Lecture_Comments","Responsive","Responsive_Comments","Student_Guide","Guide_Comment","Lab_Exercises","Lab_Comments","Classroom","Classroom_Comments","Computer","Computer_Comments","Network","Network_Comments","See_Hear","See_Hear_Comments","Years_Experience","Experience_Comments","IP_or_Telephony_Background","Background_Comments","Had_Knowledge_Skills","Knowledge_Skills_Comments","Metaswitch_Experience","Metaswitch_Exp_Comments","Attended__Appropriate_Time","Appropriate_Time_Comments","Learned_What_I_Needed","Learned_Comment","Recommend_Class","Recommend_Comments","Feedback","Instructor","Location","Course","Technical_Details"
"2","8/26/2016 5:53","8/26/2016 6:04","FairPoint Communications",40,"Instructor made it a point to make sure we were understanding the concepts.",40,"",40,"",40,"",30,"",30,"",30,"","Strongly Agree","","One to Five Years","","Telephony","","Agree","I am new to IP/routing/networking and this class was a bit over my head. However, the instructor was aware. He did a marvelous job teaching us all.","Less than 3 months","I had zero experience","No","My management probably could have put me in this training at a later time, but that is not a Meta issue!!!","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting "," Agree  "
"3","8/26/2016 5:50","8/26/2016 5:59","Fairpoint Communications",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","Twenty One or More Years","","IP","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","During my MANY training courses over the years--I have to acknowledge an instructor like Dr.Mike Allen.  He is extremely energetic and compassionate about his training--these are traits that are not common among other instructors that I've had in the past with other vendors. Metaswitch should be honored to have him as an employee!!","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"4","8/26/2016 5:49","8/26/2016 5:55","Fairpoint",40,"",40,"",40,"",40,"",20,"Fairpoints location has HVAC issues that they are working on",40,"",40,"","Strongly Agree","","Twenty One or More Years","","IP","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"5","8/26/2016 5:48","8/26/2016 5:55","Fairpoint Communications",40,"I really appreciated the way Dr. Allen provided the training.  He explained all concepts thoroughly and answered all questions in-depth.",40,"",40,"",40,"",40,"",20,"Fairpoint shortcoming, as we are still on the XP platform.",40,"","Strongly Agree","","Six to Ten Years","","IP","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","","I am extremely pleased with the HPBX Meta training.  Dr. Allen provided a thorough, detailed explanation for all topics covered, but was always able to explain things at a level that everyone in the class could follow/understand.","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"6","8/26/2016 5:37","8/26/2016 5:41","Fairpoint",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"7","8/26/2016 5:34","8/26/2016 5:40","Fairpoint Communications(Northeast)",40,"Good pacing made it easier to get through lecture.",40,"",40,"",40,"",30,"It was a little warm but I don't know what anyone could have done about it.",40,"",40,"","Strongly Agree","","One to Five Years","","IP","","Strongly Agree","","2 to 5 years","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"8","8/26/2016 5:35","8/26/2016 5:38","Fairpoint",30,"",40,"",40,"",40,"",20,"Too hot",40,"",40,"","Strongly Agree","","Six to Ten Years","","IP","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","no","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"9","8/26/2016 5:24","8/26/2016 5:30","Fairpoint SE",40,"",40,"",40,"",40,"",30,"",40,"",40,"","Strongly Agree","","Twenty One or More Years","","Telephony","","Agree","","2 to 5 years","","Yes","","Agree","","Yes","","","    Dr. Michael Allen       ","Other (please specify) Manchester NH","HPBX Deployment & Troubleshooting ","Strongly Agree   "
"10","8/26/2016 5:19","8/26/2016 5:26","Fairpoint",40,"",40,"",40,"",40,"",30,"",30,"",30,"","Strongly Agree","","One to Five Years","","Both IP and Telephony","","Strongly Agree","","2 to 5 years","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting "," Agree  "
"11","8/26/2016 5:12","8/26/2016 5:19","Fairpoint Communiations",40,"",40,"",40,"",40,"",30,"",30,"",40,"","Strongly Agree","","Six to Ten Years","","IP","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","HPBX Deployment & Troubleshooting ","Strongly Agree   "
